Column	TrueValue	PredictedValue	squared_err
chr17_10035000_10040000-chr17_10070000_10075000	4.28671	3.34539	0.886078	30000
chr17_10035000_10040000-chr17_10085000_10090000	4.18576	3.1946	0.9824	45000
chr17_10035000_10040000-chr17_10095000_10100000	4.03376	3.30264	0.534541	55000
chr17_10035000_10040000-chr17_10100000_10105000	3.973	3.3524	0.385151	60000
chr17_10035000_10040000-chr17_10125000_10130000	3.78988	3.09664	0.480577	85000
chr17_10035000_10040000-chr17_10135000_10140000	3.40045	3.19768	0.0411137	95000
chr17_10035000_10040000-chr17_10155000_10160000	3.44246	2.98749	0.206996	115000
chr17_10035000_10040000-chr17_10175000_10180000	3.16539	3.24807	0.00683535	135000
chr17_10035000_10040000-chr17_10195000_10200000	2.9424	3.21327	0.0733696	155000
chr17_10035000_10040000-chr17_10200000_10205000	3.51571	3.06456	0.203534	160000
chr17_10035000_10040000-chr17_10210000_10215000	2.82946	3.08779	0.0667328	170000
chr17_10035000_10040000-chr17_10225000_10230000	2.88675	3.06402	0.0314237	185000
chr17_10035000_10040000-chr17_10275000_10280000	2.30023	2.97146	0.450546	235000
chr17_10035000_10040000-chr17_10280000_10285000	2.66006	3.17858	0.268866	240000
chr17_10035000_10040000-chr17_10290000_10295000	2.45868	2.96	0.251319	250000
chr17_10035000_10040000-chr17_10330000_10335000	1.99617	2.82853	0.692822	290000
chr17_10035000_10040000-chr17_10335000_10340000	2.52559	3.14261	0.380711	295000
chr17_10035000_10040000-chr17_10340000_10345000	1.81387	3.21647	1.96728	300000
chr17_10035000_10040000-chr17_10380000_10385000	2.09012	2.9301	0.705573	340000
chr17_10035000_10040000-chr17_10385000_10390000	2.19851	2.9187	0.518671	345000
chr17_10035000_10040000-chr17_10390000_10395000	2.06526	3.21204	1.3151	350000
chr17_10035000_10040000-chr17_10400000_10405000	1.91078	3.10289	1.42112	360000
chr17_10035000_10040000-chr17_10435000_10440000	1.98609	3.12308	1.29274	395000
chr17_10035000_10040000-chr17_10475000_10480000	2.48876	3.212	0.523081	435000
chr17_10035000_10040000-chr17_10490000_10495000	1.59564	3.30898	2.93552	450000
chr17_10035000_10040000-chr17_10505000_10510000	1.6775	3.4079	2.99427	465000
chr17_10035000_10040000-chr17_10575000_10580000	2.04346	3.36745	1.75295	535000
chr17_10035000_10040000-chr17_10580000_10585000	0.680601	3.3876	7.32782	540000
chr17_10035000_10040000-chr17_10600000_10605000	1.10656	3.27357	4.69592	560000
chr17_10035000_10040000-chr17_10625000_10630000	1.48641	3.15922	2.7983	585000
chr17_10035000_10040000-chr17_10725000_10730000	0.641555	3.1527	6.30584	685000
chr17_10035000_10040000-chr17_10730000_10735000	1.34203	3.21284	3.49993	690000
chr17_10035000_10040000-chr17_10780000_10785000	1.11255	2.80868	2.87686	740000
chr17_10035000_10040000-chr17_10815000_10820000	0.828828	2.80338	3.89887	775000
chr17_10035000_10040000-chr17_10840000_10845000	1.12192	2.85195	2.99301	800000
chr17_10035000_10040000-chr17_10895000_10900000	1.51934	2.85195	1.77586	855000
chr17_10035000_10040000-chr17_10905000_10910000	1.40183	2.82752	2.0326	865000
chr17_10070000_10075000-chr17_10085000_10090000	5.00282	3.33357	2.7864	10000
chr17_10070000_10075000-chr17_10095000_10100000	4.74473	3.53695	1.45872	20000
chr17_10070000_10075000-chr17_10100000_10105000	4.43914	3.61627	0.67712	25000
chr17_10070000_10075000-chr17_10125000_10130000	4.15503	3.13637	1.03766	50000
chr17_10070000_10075000-chr17_10135000_10140000	3.98732	3.22129	0.586805	60000
chr17_10070000_10075000-chr17_10155000_10160000	3.40397	3.04977	0.12546	80000
chr17_10070000_10075000-chr17_10175000_10180000	3.31654	3.22148	0.00903602	100000
chr17_10070000_10075000-chr17_10195000_10200000	3.4287	3.29043	0.0191199	120000
chr17_10070000_10075000-chr17_10200000_10205000	3.29909	3.05927	0.0575157	125000
chr17_10070000_10075000-chr17_10210000_10215000	2.55656	3.08779	0.282202	135000
chr17_10070000_10075000-chr17_10225000_10230000	2.77728	3.16566	0.150836	150000
chr17_10070000_10075000-chr17_10275000_10280000	2.24439	3.04322	0.638135	200000
chr17_10070000_10075000-chr17_10280000_10285000	2.30621	3.22287	0.840261	205000
chr17_10070000_10075000-chr17_10290000_10295000	2.14396	3.01628	0.760941	215000
chr17_10070000_10075000-chr17_10330000_10335000	1.6163	3.08214	2.14868	255000
chr17_10070000_10075000-chr17_10335000_10340000	1.95691	3.16899	1.46914	260000
chr17_10070000_10075000-chr17_10340000_10345000	1.44842	3.21127	3.10763	265000
chr17_10070000_10075000-chr17_10380000_10385000	1.79071	3.14583	1.83636	305000
chr17_10070000_10075000-chr17_10385000_10390000	1.76464	3.09461	1.76881	310000
chr17_10070000_10075000-chr17_10390000_10395000	1.82462	3.42504	2.56135	315000
chr17_10070000_10075000-chr17_10400000_10405000	1.95829	3.36426	1.97676	325000
chr17_10070000_10075000-chr17_10435000_10440000	2.03418	3.43653	1.9666	360000
chr17_10070000_10075000-chr17_10475000_10480000	1.99733	3.30749	1.71653	400000
chr17_10070000_10075000-chr17_10490000_10495000	1.97878	3.36462	1.92054	415000
chr17_10070000_10075000-chr17_10505000_10510000	2.06699	3.46353	1.95034	430000
chr17_10070000_10075000-chr17_10575000_10580000	2.09197	3.46348	1.88105	500000
chr17_10070000_10075000-chr17_10580000_10585000	1.1189	3.48157	5.58219	505000
chr17_10070000_10075000-chr17_10600000_10605000	2.00397	3.46886	2.14589	525000
chr17_10070000_10075000-chr17_10625000_10630000	2.30671	3.13984	0.694104	550000
chr17_10070000_10075000-chr17_10725000_10730000	1.56927	3.14233	2.47453	650000
chr17_10070000_10075000-chr17_10730000_10735000	1.94254	3.20248	1.58744	655000
chr17_10070000_10075000-chr17_10760000_10765000	1.51619	3.08453	2.4597	685000
chr17_10070000_10075000-chr17_10780000_10785000	0.732061	3.1248	5.72518	705000
chr17_10070000_10075000-chr17_10815000_10820000	1.31605	2.80982	2.23134	740000
chr17_10070000_10075000-chr17_10840000_10845000	0.73931	2.90855	4.70561	765000
chr17_10070000_10075000-chr17_10905000_10910000	1.44397	2.99722	2.41259	830000
chr17_10070000_10075000-chr17_11020000_11025000	1.25043	2.90508	2.73785	945000
chr17_10070000_10075000-chr17_11030000_11035000	0.840595	2.91668	4.31015	955000
chr17_10085000_10090000-chr17_10095000_10100000	5.38629	4.01919	1.86895	5000
chr17_10085000_10090000-chr17_10100000_10105000	4.78261	4.09621	0.471145	10000
chr17_10085000_10090000-chr17_10125000_10130000	4.4818	3.39674	1.17735	35000
chr17_10085000_10090000-chr17_10135000_10140000	3.94497	3.26439	0.463193	45000
chr17_10085000_10090000-chr17_10155000_10160000	3.79489	3.04977	0.555208	65000
chr17_10085000_10090000-chr17_10175000_10180000	3.56248	3.23592	0.106643	85000
chr17_10085000_10090000-chr17_10195000_10200000	3.40407	3.38367	0.000416329	105000
chr17_10085000_10090000-chr17_10200000_10205000	3.84891	3.13642	0.507638	110000
chr17_10085000_10090000-chr17_10210000_10215000	3.14496	3.16494	0.000399355	120000
chr17_10085000_10090000-chr17_10225000_10230000	2.91515	3.15174	0.0559743	135000
chr17_10085000_10090000-chr17_10275000_10280000	2.59031	3.04322	0.205131	185000
chr17_10085000_10090000-chr17_10280000_10285000	2.68805	3.22128	0.284339	190000
chr17_10085000_10090000-chr17_10290000_10295000	2.25839	2.97927	0.519664	200000
chr17_10085000_10090000-chr17_10330000_10335000	0.837676	3.26418	5.88794	240000
chr17_10085000_10090000-chr17_10335000_10340000	2.22942	3.30119	1.14869	245000
chr17_10085000_10090000-chr17_10340000_10345000	2.44942	3.32818	0.772219	250000
chr17_10085000_10090000-chr17_10380000_10385000	1.76953	3.19948	2.04477	290000
chr17_10085000_10090000-chr17_10385000_10390000	2.08898	3.10834	1.0391	295000
chr17_10085000_10090000-chr17_10390000_10395000	2.4976	3.42504	0.860147	300000
chr17_10085000_10090000-chr17_10400000_10405000	2.64298	3.36426	0.520248	310000
chr17_10085000_10090000-chr17_10435000_10440000	2.01208	3.43653	2.02907	345000
chr17_10085000_10090000-chr17_10475000_10480000	2.33348	3.30749	0.9487	385000
chr17_10085000_10090000-chr17_10490000_10495000	2.31409	3.36462	1.1036	400000
chr17_10085000_10090000-chr17_10505000_10510000	2.59029	3.46353	0.762557	415000
chr17_10085000_10090000-chr17_10575000_10580000	2.17334	3.46348	1.66447	485000
